;rating;comment
0;10;We have a good relationship.
1;8;BASF is a good supplier, with good products, but it could have a little more commercial flexibility.
2;9;The company has a wide range of portfolios with different solutions in numerous segments, a highly qualified commercial and technical team in Brazil and abroad, including for carrying out laboratory assessments and developing customized solutions in addition to high ethical and governance values.
3;8;In addition to quality products, the after-sales service of the entire BASF team is of high quality.
4;8;top company
5;10;Partner company of the Fedrigoni group with quality products
6;9;Trust in the brand and the quality of the products!!!
7;8;confidence
8;9;top company
9;8;Great service, staff and on time
10;9;Quality products, punctual deliveries, but a very aggressive policy for price adjustment, especially for Polyamides.
11;10;Sometimes I notice a little bureaucracy so we can solve simple things, I still understand.
12;8;technology and quality
13;8;As a technology and solutions company, always innovating
14;8;"We have been in business with Basf for many years there has always been a lot of transparency and partnership
 We have always been answered in our requests with great agility and quality."
15;9;Excellent supplier in product quality, communication and delivery.
16;8;"We work with Suvinil, and today we can say that it is ""NEW SUVINIL"".
 Another company.
 Totally different from what I knew, which I disliked a lot."
17;10;Serious company, an incredible partnership in the most difficult solutions, reliability, security and above all an incredible quality!!!
18;8;It is a safe and reliable company to work for.
19;10;Good perceived quality.
20;9;serious company with great quality product with regard to ink that is my business.
21;10;Company that has a straight policy, we hardly have surprises because we are always communicated before the decisions that the board takes, which gives us greater confidence knowing that the company cares about its customers.
22;8;"Today I work in the quality department of my company and just because BASF is concerned with periodically auditing us, aiming to maintain a high standard for both parties, that alone would be enough to recommend the brand to other people.
 Congratulations on your concern for the brand and its distributors."
23;9;Supplier with quality and performance in the product line.
24;9;The note is due to the fact that we are served by a Global company, a world leader in the chemical segment, for offering quality raw materials, contributing to the guarantee seal of our products, with our customers.
25;10;Super rigid commercial policy, same purchase value for all customers.
26;9;Good service and quality
27;8;BASF is a large chemical company, with a broad portfolio of products of excellent quality and capable of meeting our needs.
28;8;Differentiated raw materials
29;9;BASF has good products and the people serve us very well...I didn't give it a 10 due to the frequent postponement of deadlines.
30;9;Great products and systems also demonstrate seriousness and commitment to quality assurance.
31;8;Product of excellent quality, we can guarantee the customer that the product exceeds expectations.
32;9;Company that seeks to offer innovative solutions and has a technical and commercial team capable of finding the best solutions.
33;9;Quality materials and very good service!
34;10;Market leading brand with high quality and performance products.
35;10;Credibility built over the years, .
36;8;We are very happy with this partnership, Vollmens x BASF.
37;10;Always well attended, but unfortunately the lack of some items has made negotiations difficult.
38;8;trust in people, programming data, and product
39;10;It has excellent quality and good logistics, prices above the market
40;9;Technological quality and seriousness with customers.
41;8;Product quality and service excellence.
42;8;One of the best companies to work for in Brazil. Excellent service from the people around you. I am proud to say that I work with Suvinil!!!
43;9;Great product, indisputable qualities, after sale really happens.
44;9;quality products, high performance and reliability.
45;10;excellent company
46;8;Because we are very well attended and the products are of excellent quality.
47;9;Product quality, long-term relationship and customer commitment.
48;9;Product credibility and quality.
49;10;And a good company, partner.
50;8;"Suvinil is always there trying to help in any way it can. Doing everything not to leave the shopkeeper ""in hand""."
51;8;"reliable company. Excellent commercial service.
 poor in field service"
52;10;company always inspired by innovation, provides stimuli through actions, partnership of trust.
53;10;Quality
54;8;The attitude of always anticipating the customer about occurrences with monomers, loyalty and partnership.
55;10;Technical support is very well organized and available, professionals are very well prepared and BASF's global structure supports it when necessary. The partnership is very good and long term.
56;9;Due to punctual delivery
57;9;good relationship, product quality, prompt service
58;8;Punctuality, partnership, reliability.
59;10;Excellent products and service.
60;8;BASF has not fulfilled its commitments.
61;8;I am satisfied with the business relationship.
62;9;For being a partner company, which seeks to assist and accompany the Producer/Rural Company with easy access and communication.
63;10;Quality product, reliability, follow-up, readiness.
64;9;Seriousness, transparency, innovation, constant monitoring
65;10;Commercial and technical team very well prepared, attentive and really willing to help the customer.
66;10;BASF has amazing products but the service should be closer... and they should anticipate the information more...
67;10;Products that deliver a solution, and are of excellent quality.
68;9;Quality products and after-sales.
69;9;Excellent products and great professionals
70;8;for the quality of the product
71;8;excellent products
72;10;Attention to customer needs.
73;10;Reputable company, serious, with high quality products and agile and effective service.
74;10;Extremely attentive sales and post sales team, always quality products and commitment to customers
75;10;Quality, seriousness, on-time delivery, great relationship with the Sales team, transparency....
76;8;Extremely high quality products!
77;9;Out of market costs !
78;8;Basf is a company that is always open to listen and seek to improve its processes.
79;8;"Respected company in the world market, technology and development of quality products and stability in everyday use.

 Respectful company, I love working with you."
80;8;It is a great company and has a variety of products with good service.
81;9;Reliability in products, know-how, ease in meeting requests.
82;10;Top quality merchandise and top team
83;10;Product quality and service.
84;8;Technical support and agility.
85;8;Fully meets expectations.
86;8;excellent grade! but there is always room for improvement or improvement! continuous process of improvement and we all have strengths and weaknesses! for sure BASF has it too!
87;9;Undoubtedly the best products in the segment, cordiality of the sales representative and the attention whenever necessary from the technician in our region...
88;10;Great quality products, good service, compliance with delivery deadlines and up-to-date information regarding the market, transport and price composition. Excellent partner company.
89;9;We already do business with BASF, we have a good relationship and good products.
90;9;Confidence
91;8;I would recommend because I have always been very well attended, with agility and promptness.
92;9;An excellent company with several business units
93;8;TOP TEAM, TOP CONSULTANT
94;8;Great service, high quality products.
95;10;The excellent service provided by RTV VIVIANE RODRIGUES combined with the quality and effectiveness of BASF supplies.
96;8;good products and good service.
97;10;For professionalism in the technical and relational area.
98;8;Basf is an excellent company and works with quality products
99;8;Internationally renowned brand and widely accepted in the trade.
100;8;Basf is an excellent company, it has a top team, but leaves something to be desired in terms of margin
101;8;partner company
102;8;"For the service for being close to the producer being a partner
 For the product portfolio, quality and innovation in research and new molecules"
103;8;Quality and service.
104;9;Good service, quality and price.
105;8;I have exemplary technical and commercial support and a high level of commitment...
106;10;excellent service.
107;8;Quality product
108;9;are quality products with results
109;10;Excellent products with active ingredient and exclusive chemical group. However, it needs to improve commercial strategy and relationship.
110;8;Service by sales and technical assistance personnel
111;9;We need insecticide for bed bugs and leafhopper on corn.
112;9;We are very well attended by the representative Carlos Ferruci and the technical team responsible for our region.
113;8;I consider BASF an excellent company.
114;9;Attendance
115;8;BASF still needs more robust technical assistance, mainly helping the customer in the development of products/applications.
116;10;quality
117;8;Partner company that has always supported us
118;10;Quality product, reliable company and excellent service from the team.
119;10;Attendance
120;10;Serious company, highly trained people.
121;9;they are great commercially, great products, good logistics, but they are very inflexible financially.
122;9;Organized supplier, always tries to meet the deadline, always guides us on the best way to work, and adjusts deliveries according to our needs whenever possible. Always attentive to changes, always available. very good partnership
123;10;product quality and team work.
124;10;reliable company
125;8;FOR BEING A COMPANY THAT PRODUCES QUALITY PRODUCTS
126;9;High-tech company, excellent products and renowned in the chemical market
127;10;It is a great quality ink that conveys a lot of confidence to the consumer.
128;8;QUALITY
129;8;suvinil is the best paint on the market
130;9;For the trust in the partnership we have
131;8;top quality product.
132;10;Excellent company, with high reliability products. Team prepared commercially and technically.
133;9;We have been working with suvinyl for 40 years and we know the quality.
134;8;Top quality products!
135;9;Current business conditions.
136;9;relationship, reliability and commitment in the delivery of agro-defensive and seeds.
137;9;Attendance
138;8;Quality!
139;8;Company that works with quality product.
